,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
58,Maldives,,1.22,4.32,18.47,19.84,9.44,291.3,0.7,24.51,179.71,286.94,10.79,9.91,111.47,158.78,795.6,77.77,14.83,50.73,64.92,0.2,0.09,15.83,28.02,107.86,687.74
59,Cyprus,,38.38,135.85,24.45,26.26,5.79,178.67,5.05,176.85,14.86,23.73,8.98,8.25,113.31,161.4,711,83.25,15.88,4.94,6.32,0.04,0.02,4.6,8.14,30.36,680.64
60,Republic of Serbia,,32.04,113.41,10.64,11.43,7.05,217.55,3.56,124.67,5.59,8.93,8.89,8.17,148.53,211.57,695.71,105.88,20.19,1.22,1.56,0,0,3.31,5.86,27.61,668.1
61,United Arab Emirates,,0,0,41.04,44.09,5.64,174.04,9.08,317.98,20.41,32.59,8.23,7.56,132.66,188.96,765.21,101.29,19.32,56.25,71.98,0.08,0.04,23.03,40.76,132.1,633.12
62,Algeria,,0,0,7.42,7.97,5.6,172.8,7.69,269.3,3.74,5.97,8.06,7.4,141.53,201.6,665.05,185.42,35.36,2.97,3.8,0,0,2.08,3.68,42.84,622.21
63,Ukraine,,20.56,72.77,24.23,26.03,8.96,276.49,0.41,14.36,15.23,24.32,18.01,16.54,145.03,206.58,637.09,105.15,20.05,3,3.84,0.02,0.01,2.68,4.74,28.64,608.44
64,Pakistan,,0,0,5.01,5.38,8.82,272.17,2.46,86.15,1.87,2.99,2.95,2.71,183.13,260.85,630.24,113.63,21.67,12.25,15.68,0,0,0.83,1.47,38.81,591.43
65,Swaziland,,2.43,8.6,6.18,6.64,15.1,465.95,1.94,67.94,1.26,2.01,1.5,1.38,56.6,80.62,633.14,37.15,7.08,21.15,27.07,0.55,0.25,6.44,11.4,45.8,587.35
66,Latvia,,34.96,123.74,20.53,22.05,5.11,157.68,0.34,11.91,21.3,34.01,14.03,12.89,174.11,248,610.28,72.13,13.76,2.21,2.83,0.04,0.02,3.78,6.69,23.29,586.99
67,Bosnia and Herzegovina,,9.38,33.2,13.17,14.15,9.12,281.42,0.47,16.46,4.06,6.48,4.49,4.12,174.03,247.89,603.73,93.56,17.84,1.88,2.41,1.48,0.67,2,3.54,24.45,579.27
